
set_id,question_number,question,option_a,option_b,option_c,option_d,correct,explanation,domain,objective,difficulty
Set01,1,Contoso Ltd. wants to run code in response to incoming orders without managing servers. Which Azure compute option should they choose?,Azure Virtual Machines,Azure Kubernetes Service,Azure Functions,Azure SQL Database,C,Azure Functions is a serverless compute option that executes code in response to events without requiring server management.,Describe Azure architecture and services,Describe serverless computing,medium
Set01,2,"For deep application performance insights such as request rates and response times, you should use:",Azure Log Analytics,Azure Advisor,Application Insights,Azure Policy,C,"Application Insights, part of Azure Monitor, helps developers monitor live applications and diagnose issues.",Describe Azure management and governance,Describe Azure Monitor and Application Insights,medium
Set01,3,A company wants to allow external partner organizations to access certain applications. Which capability should they use?,Business‑to‑business (B2B) collaboration,Single sign‑on,Business‑to‑consumer (B2C) identity,Virtual network peering,A,B2B collaboration enables external partners to use their identities to access resources securely.,Describe Azure architecture and services,Describe external identities,medium
Set01,4,"You need to collect metrics, logs, and telemetry from applications and resources in Azure. Which tool should you use?",Azure Monitor,Azure Policy,Azure Arc,Azure Budgets,A,"Azure Monitor provides full‑stack monitoring with metrics, logs, and alerts for applications and infrastructure.",Describe Azure management and governance,Describe Azure Monitor and related services,medium
Set01,5,Azure Arc is primarily used to:,Extend Azure management to on‑premises and multi‑cloud resources,Encrypt virtual machine disks,Provide domain services,Set conditional access policies,A,"Azure Arc enables consistent management and governance across on‑premises, multi‑cloud, and edge resources.",Describe Azure management and governance,Describe the purpose of Azure Arc,medium
Set01,6,Why should you apply tags to your Azure resources?,To control user permissions,To influence performance,To categorize and manage costs or resources,To increase storage quota,C,"Tags allow you to organize resources for cost management, reporting, and governance.",Describe Azure management and governance,Describe the purpose of tags,easy
Set01,7,"Which directory service provides managed domain services (such as domain join, group policy, LDAP) without deploying domain controllers?",Microsoft Entra ID,Microsoft Entra Domain Services,Azure AD B2C,Azure AD B2B,B,Microsoft Entra Domain Services offers domain join and related capabilities without domain controllers.,Describe Azure architecture and services,Describe directory services in Azure,medium
Set01,8,What is Azure Advisor designed to do?,Provide resource compliance enforcement,Offer personalized best practice recommendations to optimize resources,Monitor application performance,Manage data classification,B,"Azure Advisor analyzes your resources and recommends cost, security, reliability, and performance optimizations.",Describe Azure management and governance,Describe the purpose of Azure Advisor,easy
Set01,9,An organization needs to deploy a custom application without worrying about managing servers or middleware. Which cloud model is most appropriate?,IaaS,PaaS,SaaS,Hybrid cloud,B,PaaS provides an application platform and managed runtime environment so you can focus on app development.,Describe cloud concepts,Describe platform as a service (PaaS),medium
Set01,10,"To enforce that all resources in a subscription must have a specific tag, you should use:",Azure Policy,Azure Advisor,Azure Arc,Azure Monitor,A,Azure Policy can audit and enforce tagging rules across resources.,Describe Azure management and governance,Describe features and tools in Azure for governance and compliance,medium
Set01,11,Which Azure concept groups resources together for unified management and life‑cycle control?,Management group,Subscription,Resource group,Availability zone,C,"Resource groups organize resources for deployment, monitoring, and lifecycle management.",Describe Azure architecture and services,Describe Azure resources and resource groups,easy
Set01,12,Your team wants to run event‑driven code without managing any servers and only pay when code runs. Which option is best?,Azure Virtual Machines,Azure Kubernetes Service,Azure Functions,Azure SQL Managed Instance,C,Azure Functions is a serverless service where you pay per execution and don’t manage underlying servers.,Describe cloud concepts,Describe serverless computing,easy
Set01,13,You need to synchronize on‑premises files with Azure Files for distributed access. Which tool should you use?,Azure File Sync,Azure Migrate,AzCopy,Azure Data Box,A,"Azure File Sync caches Azure Files on‑premises and syncs changes, enabling centralized storage with local performance.",Describe Azure architecture and services,Identify options for moving files,medium
Set01,14,Which term describes the ability of cloud services to maintain operation despite failures and automatically recover?,Scalability,Elasticity,High availability,Agility,C,High availability refers to systems that remain operational and recover quickly in the event of failures.,Describe cloud concepts,Describe the benefits of high availability,easy
Set01,15,What is the primary purpose of an Azure region pair?,To enable multi‑factor authentication,To provide cross‑region replication and disaster recovery,To organize multiple subscriptions,To segment a virtual network,B,"Region pairs enable replication across paired regions, supporting disaster recovery and data residency.",Describe Azure architecture and services,"Describe Azure regions, region pairs, and sovereign regions",medium
Set01,16,Zero Trust is a security model that assumes:,Everything inside a network is trusted,Perimeter defenses are sufficient,No implicit trust and verification is required for every request,Security only matters for on‑premises networks,C,"Zero Trust treats every access request as untrusted until verified, regardless of network location.",Describe Azure architecture and services,Describe the concept of Zero Trust,medium
Set01,17,What Azure service category includes fully managed software like Microsoft 365 that users access via a web browser?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Serverless computing,C,SaaS delivers fully managed applications over the internet; users simply consume the application without managing infrastructure.,Describe cloud concepts,Describe software as a service (SaaS),easy
Set01,18,Which Azure compute service automatically scales identical instances in response to demand?,Virtual machine scale set,Azure Virtual Desktop,Azure App Service,Azure Functions,A,VM scale sets simplify scaling and management of multiple identical VMs.,Describe Azure architecture and services,Describe Azure compute services,medium
Set01,19,What does Azure Virtual Network (VNet) primarily provide?,"Secure, isolated networking environment for Azure resources",A place to store unstructured data,A managed SQL database,A platform for event‑driven code,A,A VNet is a logical isolation of the Azure network dedicated to your subscription.,Describe Azure architecture and services,Describe virtual networking,easy
Set01,20,Which factor has the greatest impact on the cost of a virtual machine in Azure?,The geographic region where it is deployed,The resource group name,The management group hierarchy,The number of tags applied,A,VM pricing varies by region; other factors such as resource groups and tags do not directly affect VM cost.,Describe Azure management and governance,Describe factors that can affect costs in Azure,medium
Set01,21,Which Azure service should you choose to run containers without orchestrating infrastructure?,Azure Virtual Machines,Azure Container Instances (ACI),Azure Virtual Desktop,Azure App Service,B,Azure Container Instances allows you to run containers directly without managing underlying VMs or orchestrators.,Describe Azure architecture and services,Compare compute types,medium
Set01,22,You are planning to assess the potential cost savings of migrating to Azure compared to running workloads on‑premises. Which tool should you use?,Pricing Calculator,Total Cost of Ownership (TCO) Calculator,Azure Budgets,Azure Advisor,B,The TCO Calculator compares the cost of running workloads on Azure versus in a traditional datacenter.,Describe Azure management and governance,Compare the pricing calculator and TCO calculator,easy
Set01,23,Resource locks are used to:,Assign user permissions,Prevent accidental deletion or modification of critical resources,Encrypt storage accounts,Set budget alerts,B,Locks safeguard important resources by preventing changes or deletion.,Describe Azure management and governance,Describe the purpose of resource locks,easy
Set01,24,"Which authentication method requires users to provide a second factor, such as a code or biometric, in addition to a password?",Single sign‑on (SSO),Multi‑factor authentication (MFA),Passwordless authentication,Anonymous access,B,"MFA requires two or more factors for authentication, improving security.",Describe Azure architecture and services,Describe authentication methods,easy
Set01,25,"In Azure Storage, which redundancy option replicates your data across three primary region datacenters and also to a secondary region?",Locally redundant storage (LRS),Zone‑redundant storage (ZRS),Geo‑redundant storage (GRS),Read‑access geo‑redundant storage (RA‑GRS),C,GRS replicates data synchronously three times within the primary region and asynchronously to a secondary region.,Describe Azure architecture and services,Describe redundancy options,medium
Set01,26,What is the primary benefit of infrastructure as code (IaC)?,Resources are automatically compliant without auditing,Deployments become manual and error‑prone,Infrastructure definitions are repeatable and version controlled,It eliminates the need for DevOps practices,C,"IaC enables consistent, repeatable deployments and allows infrastructure definitions to be stored in version control.",Describe Azure management and governance,Describe infrastructure as code (IaC),medium
Set01,27,"In the shared responsibility model for Azure, what is Microsoft primarily responsible for?",Securing guest operating systems and applications,Protecting physical datacenters and host infrastructure,Managing data classification and governance,Configuring network security groups (NSGs),B,"Microsoft handles security of the cloud such as physical hosts, networking, and hypervisors, while customers secure their data and applications.",Describe cloud concepts,Describe the shared responsibility model,medium
Set01,28,Which statement best describes a consumption‑based pricing model in Azure?,You pay a fixed monthly fee regardless of usage,You pay only for the resources you use,You pay in advance for estimated resource needs,You purchase hardware and depreciation costs,B,"Consumption‑based pricing charges you only for the actual services consumed, minimizing waste.",Describe cloud concepts,Describe the consumption‑based model,easy
Set01,29,Which Azure storage service is best suited for storing unstructured data such as images and videos?,Azure Files,Azure Disks,Azure Blobs,Azure Tables,C,Blob storage is designed to store large amounts of unstructured object data.,Describe Azure architecture and services,Compare Azure Storage services,easy
Set01,30,The Azure Pricing Calculator is primarily used to:,Compare your actual Azure costs to industry averages,Estimate the cost of Azure services before deployment,Review invoices and usage after deployment,Purchase reserved instances,B,The pricing calculator helps you estimate costs based on service configurations before deploying resources.,Describe Azure management and governance,Compare the pricing calculator and TCO calculator,easy
Set01,31,Which use case is most appropriate for SaaS rather than PaaS or IaaS?,Developing a custom web application,Deploying a lift‑and‑shift VM,Using a hosted email platform like Exchange Online,Running a containerized microservice,C,Hosted email is a complete software solution delivered as SaaS; users need not manage infrastructure or platform.,Describe cloud concepts,Identify use cases for SaaS,easy
