set_id,question_number,question,option_a,option_b,option_c,option_d,correct,explanation,domain,objective,difficulty
Set01,1,A developer at Tailspin Toys needs clarification. Contoso Ltd. wants to run code in response to incoming orders without managing servers. Which Azure compute option should they choose?,Azure Virtual Machines,Azure Kubernetes Service,Azure Functions,Azure SQL Database,C,Azure Functions is a serverless compute option that executes code in response to events without requiring server management.,Describe Azure architecture and services,Describe serverless computing,hard
Set01,2,"A security engineer at a hospital needs help. For deep application performance insights such as request rates and response times, you should use:",Azure Log Analytics,Azure Advisor,Application Insights,Azure Policy,C,"Application Insights, part of Azure Monitor, helps developers monitor live applications and diagnose issues.",Describe Azure management and governance,Describe Azure Monitor and Application Insights,hard
Set01,3,A company wants to allow external partner organizations to access certain applications. Which capability should they use?,Business‑to‑business (B2B) collaboration,Single sign‑on,Business‑to‑consumer (B2C) identity,Virtual network peering,A,B2B collaboration enables external partners to use their identities to access resources securely.,Describe Azure architecture and services,Describe external identities,hard
Set01,4,"The finance department at Litware needs help. You need to collect metrics, logs, and telemetry from applications and resources in Azure. Which tool should you use?",Azure Monitor,Azure Policy,Azure Arc,Azure Budgets,A,"Azure Monitor provides full‑stack monitoring with metrics, logs, and alerts for applications and infrastructure.",Describe Azure management and governance,Describe Azure Monitor and related services,hard
Set01,5,A developer at Tailspin Toys needs help. Azure Arc is primarily used to:,Extend Azure management to on‑premises and multi‑cloud resources,Encrypt virtual machine disks,Provide domain services,Set conditional access policies,A,"Azure Arc enables consistent management and governance across on‑premises, multi‑cloud, and edge resources.",Describe Azure management and governance,Describe the purpose of Azure Arc,hard
Set01,6,A startup founder needs help. Why should you apply tags to your Azure resources?,To control user permissions,To influence performance,To categorize and manage costs or resources,To increase storage quota,C,"Tags allow you to organize resources for cost management, reporting, and governance.",Describe Azure management and governance,Describe the purpose of tags,medium
Set01,7,"A security engineer at a hospital needs help. Which directory service provides managed domain services (such as domain join, group policy, LDAP) without deploying domain controllers?",Microsoft Entra ID,Microsoft Entra Domain Services,Azure AD B2C,Azure AD B2B,B,Microsoft Entra Domain Services offers domain join and related capabilities without domain controllers.,Describe Azure architecture and services,Describe directory services in Azure,hard
Set01,8,A security engineer at a hospital needs help. What is Azure Advisor designed to do?,Provide resource compliance enforcement,Offer personalized best practice recommendations to optimize resources,Monitor application performance,Manage data classification,B,"Azure Advisor analyzes your resources and recommends cost, security, reliability, and performance optimizations.",Describe Azure management and governance,Describe the purpose of Azure Advisor,medium
Set01,9,An organization needs to deploy a custom application without worrying about managing servers or middleware. Which cloud model is most appropriate?,IaaS,PaaS,SaaS,Hybrid cloud,B,PaaS provides an application platform and managed runtime environment so you can focus on app development.,Describe cloud concepts,Describe platform as a service (PaaS),hard
Set01,10,"A developer at Tailspin Toys needs help. To enforce that all resources in a subscription must have a specific tag, you should use:",Azure Policy,Azure Advisor,Azure Arc,Azure Monitor,A,Azure Policy can audit and enforce tagging rules across resources.,Describe Azure management and governance,Describe features and tools in Azure for governance and compliance,hard
Set01,11,A developer at Tailspin Toys needs help. Which Azure concept groups resources together for unified management and life‑cycle control?,Management group,Subscription,Resource group,Availability zone,C,"Resource groups organize resources for deployment, monitoring, and lifecycle management.",Describe Azure architecture and services,Describe Azure resources and resource groups,medium
Set01,12,A developer at Tailspin Toys needs clarification. Your team wants to run event‑driven code without managing any servers and only pay when code runs. Which option is best?,Azure Virtual Machines,Azure Kubernetes Service,Azure Functions,Azure SQL Managed Instance,C,Azure Functions is a serverless service where you pay per execution and don’t manage underlying servers.,Describe cloud concepts,Describe serverless computing,medium
Set01,13,An enterprise architect at a global organization needs help. You need to synchronize on‑premises files with Azure Files for distributed access. Which tool should you use?,Azure File Sync,Azure Migrate,AzCopy,Azure Data Box,A,"Azure File Sync caches Azure Files on‑premises and syncs changes, enabling centralized storage with local performance.",Describe Azure architecture and services,Identify options for moving files,hard
Set01,14,A security engineer at a hospital needs help. Which term describes the ability of cloud services to maintain operation despite failures and automatically recover?,Scalability,Elasticity,High availability,Agility,C,High availability refers to systems that remain operational and recover quickly in the event of failures.,Describe cloud concepts,Describe the benefits of high availability,medium
Set01,15,The IT team at Fabrikam needs help. What is the primary purpose of an Azure region pair?,To enable multi‑factor authentication,To provide cross‑region replication and disaster recovery,To organize multiple subscriptions,To segment a virtual network,B,"Region pairs enable replication across paired regions, supporting disaster recovery and data residency.",Describe Azure architecture and services,"Describe Azure regions, region pairs, and sovereign regions",hard
Set01,16,A cloud administrator at Contoso needs help. Zero Trust is a security model that assumes:,Everything inside a network is trusted,Perimeter defenses are sufficient,No implicit trust and verification is required for every request,Security only matters for on‑premises networks,C,"Zero Trust treats every access request as untrusted until verified, regardless of network location.",Describe Azure architecture and services,Describe the concept of Zero Trust,hard
