set_id,question_id,domain,objective,difficulty,type,question,option_a,option_b,option_c,option_d,option_e,option_f,correct,explanation,image_url,tags
Set01,Set01-Q001,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Disaster recovery helps restore services after major failures.,Availability Zones are the same as regions.,Cloud agility helps teams release features faster.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q002,Cloud concepts,Describe cloud benefits,easy,single,Moving to Azure typically shifts spending from what to what?,CapEx to OpEx,OpEx to CapEx,Fixed to Sunk,Variable to Fixed,,,A,"Cloud is consumption-based, usually OpEx instead of CapEx.",,benefits;pricing
Set01,Set01-Q003,Cloud concepts,Describe cloud benefits,medium,single,Which benefit means apps can handle spikes in load automatically?,Elasticity,Agility,Fault tolerance,Governance,,,A,Elasticity lets resources scale up/down automatically.,,benefits;elasticity
Set01,Set01-Q004,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Elasticity means automatic scaling based on demand.,Availability Zones are the same as regions.,Cloud agility helps teams release features faster.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q005,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Elasticity means automatic scaling based on demand.,Scale up means adding more instances.,Public cloud provides logical tenant isolation.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q006,Cloud concepts,Shared responsibility,medium,single,"In a PaaS database, which is the customer's responsibility?",Data classification & access,OS patching,Physical security,Hypervisor patching,,,A,Provider manages platform; you manage data and identities.,,security;responsibility
Set01,Set01-Q007,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,"In PaaS, providers manage the runtime and OS.",Scale up means adding more instances.,Economies of scale reduce per-unit costs.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q008,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Cloud agility helps teams release features faster.,Scale up means adding more instances.,Disaster recovery helps restore services after major failures.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q009,Cloud concepts,Cloud types,medium,single,You need to keep some workloads on-prem but burst to Azure during peaks. Which model? — choose the best.,Hybrid cloud,Public cloud,Private cloud,Community cloud,,,A,Hybrid combines on-prem and public cloud and allows bursting.,,hybrid
Set01,Set01-Q010,Cloud concepts,Pricing & tools,hard,single,Which tool estimates monthly Azure costs before deployment? — choose the best.,Pricing Calculator,Cost Analysis,Budgets,Azure Advisor,,,A,Pricing Calculator is used pre-deployment for estimates.,,pricing
Set01,Set01-Q011,Cloud concepts,Cloud concepts mixed,easy,multi,Select all true statements about cloud concepts (choose two).,Public cloud provides logical tenant isolation.,CapEx is pay-as-you-go.,Cloud agility helps teams release features faster.,All of the above,,,A;C,Elasticity/agility/hybrid etc. are true; the false statement contradicts cloud models.,,cloud;concepts
Set01,Set01-Q012,Azure architecture & services,Compute options,medium,single,Best fit for event-driven code with per-execution billing (no servers to manage):,Azure Functions,Azure Virtual Machines,Azure Kubernetes Service,VM Scale Sets,,,A,Functions are serverless and billed per execution.,,compute;functions
Set01,Set01-Q013,Azure architecture & services,Compute options,easy,single,You need OS-level control and custom software. Choose:,Azure Virtual Machines,Azure Functions,Azure App Service,Azure Container Instances,,,A,VMs provide full OS control.,,compute;iaas
Set01,Set01-Q014,Azure architecture & services,Containers,easy,single,Run many containers with automatic orchestration and scaling:,Azure Kubernetes Service,Azure Functions,Azure Batch,Azure Container Registry,,,A,AKS manages container orchestration using Kubernetes.,,containers;aks
Set01,Set01-Q015,Azure architecture & services,Containers,medium,single,Quickly run a single container without managing servers:,Azure Container Instances,Azure Kubernetes Service,Azure App Service,Azure VMs,,,A,ACI runs containers on-demand without orchestration.,,containers;aci
Set01,Set01-Q016,Azure architecture & services,Web hosting,easy,single,Managed platform for hosting web apps with built-in scaling and CI/CD:,Azure App Service,VM Scale Sets,Azure Batch,Azure Arc,,,A,App Service is PaaS for web and APIs.,,app-service
Set01,Set01-Q017,Azure architecture & services,Storage,easy,single,Service for storing unstructured data like images and PDFs:,Azure Blob Storage,Azure Files,Azure Disks,Azure Queue Storage,,,A,Blob Storage is object/unstructured storage.,,storage;blob
Set01,Set01-Q018,Azure architecture & services,Storage,medium,single,SMB-based shared storage for lift-and-shift of on-prem file shares:,Azure Files,Azure Blob Storage,Azure Queue Storage,Azure Table Storage,,,A,Azure Files provides SMB shares accessible from VMs and on-prem.,,storage;files
Set01,Set01-Q019,Azure architecture & services,Storage redundancy,easy,single,Cheapest redundancy within a single datacenter:,LRS,ZRS,GRS,RA-GRS,,,A,LRS keeps three copies in one datacenter.,,redundancy;lrs
Set01,Set01-Q020,Azure architecture & services,Storage redundancy,hard,single,High availability across multiple datacenters in a region:,ZRS,LRS,GRS,RA-GRS,,,A,ZRS replicates across availability zones.,,redundancy;zrs
